description,Department
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbspwhy product selling target shift timing bossnbspwho work fresher housewife employedunemployed retirednature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbspwhy product selling target shift timing bossnbspwho work fresher housewife employedunemployed retirednature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnbspwho work fresher housewife employedunemployed retirednature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiatfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
post helper driver supervisor store keeper plamber cooking computer operator electronics engineer mechanicalnbsp engnbspind salary monthly ndash nbspqualifications accepted graduate mba btechotherjobs location malaysia dubai saudi arab qatar kuwait detail please contact uscall mrgk shivemail usfree office time pmhead branchnew delhirohini secnbsp basic cooking production tech hindi english electronics store office,Engineering Design Construction
post helper driver supervisor store keeper plamber cooking computer operator electronics engineer mechanicalnbsp engnbspind salary monthly ndash nbspqualifications accepted graduate mba btechotherjobs location malaysia dubai saudi arab qatar kuwait detail please contact uscall mrgk shivemail usfree office time pmhead branchnew delhirohini secnbsp basic cooking production tech hindi english electronics store office,Engineering Design Construction
post helper driver supervisor store keeper plamber cooking computer operator electronics engineer mechanical engnbspind salary monthly ndash nbspqualifications accepted graduate mba btechotherjobs location malaysia dubai saudi arab qatar kuwait detail please contact uscall mrshiv kumar guptaemail usfree office time pmhead branchnew delhirohini secnbsp basic cooking production tech hindi english electronics store office,Maintenance
post helper driver supervisor store keeper plamber cooking computer operator electronics engineer mechanical engnbspind salary monthly ndash nbspqualifications accepted graduate mba btechotherjobs location malaysia dubai saudi arab qatar kuwait detail please contact uscall mrshiv kumar guptaemail usfree office time pmhead branchnew delhirohini secnbsp basic cooking production tech hindi english electronics store office,Maintenance
post helper driver supervisor store keeper plamber cooking computer operator electronics engineer mechanicalnbsp engnbspind salary monthly ndash nbspqualifications accepted graduate mba btechotherjobs location malaysia dubai saudi arab qatar kuwait detail please contact uscall mrshiv kumar guptaemail usfree office time pmhead branchnew delhirohini secnbsp basic cooking production tech hindi english electronics store office,Maintenance
opening assistant marketing manager leading tour travel companyfemale onlyskills requireddesignation asst marketing manager planningkeenly conceptualize various strategic tactical marketing plan marketing budget managementmanage marketing budget around per annum affiliate marketingmanage affiliation brand mall retail brand outlet experiential marketingconceptualize creative marketing idea drive successful execution team vendor marketing agenciesactivations management manage footfall sale venue driving overseeing activation mall retail outlet exhibition trade fair hotel restaurant corporates residential society schoolsvendor management agency managementmanage vendor marketing agency cost negotiation payment team managementmanage drive ideation team creative team activation team telemarketing team towards company goal medium mix management manage activation brand awareness btl degree medium integration techniquesmarketing communication managementreview marketing communication creative brief atl btl digital marketinginterested candidate send updated resume also refer job profile friendsthank youregardsnehahr executive management marketing atl sale budget communication btl retail telemarketing development vendor business office digital affiliate team,Marketing
work profile mentioned urgent basisposition nbspdomestic mouse salesnbsprequirement immediatemiddot sound destination knowledge domestic allmiddot efficient communicator across partner destination management company sale team stakeholdersmiddot leadership display ability lead front deliver team responsibility independentlynbsplocation fortdepartment srexemicenbspexperience minimum yrsnbspnbspnbspif interestedplease revert back mailnbspregardsmadhuri mouse product costing costing contracting itinerary tour operation,Ticketing
travel operation tourism operation reservation operation,Ticketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requirednbspnbspcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredthank call internet marketing,Digital Marketing
job descriptionminimumqualificationgraduatepost graduate streamnbspexperienceonly experienced minimum monthsnbspresponsibilitiesnbspbull ability handle package national internationalbull knowledge nationalinternational vendor tour packagesbull air ticketing hotel bookingsbull deal travel agent retailersbull making online reservationsbull coordinate travel logisticstransportationbull guide traveller tourrsquos itinerarybull coordinating client visa documentation applicationbull able convert lead chat voice call customersmiddot able interact convince corporates make booking travel agencymiddot cold calling fixing meeting ndash field marketingnbspskills competenciesnbspbull ability work teambull good communication skill english hindi local languagebull personally motivated positive attitudebull knowledge computernbsp operation tourism ticketing customer skill tour back office support service,Customer service
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
marketing sale development office business airline sale direct key account management,Sales
job profile telemarketing executiveage yrsnotecandidates good communication skill mumbai localjob descriptioncandidate minimum passshould good communication skill good thought process english proficiency inparticularpreferably atleast month year experience telemarketing freshersare also considered provided absolutely familiar telemarketing industryand pressure involved itshould target orientednbspshould comfortable working saturday amp sundaywould get one weekly monday thursdaycandidates interested forward updated resume call also refer friend looking job samethankyouregardsafsha marketing management sale telesales development office business domestic calling outbound sale outbound calling,Presales 
dear candidaterequiredtour executivenbspexperience yearssalaryupto pmjob locationgurugram sectorjob descriptionholiday package hotel contracting hotel costing tour plan tour costing tour executive tour consultant tour outbound outbound tour holiday hotel rate hotel reservation hotel booking tour hotel front office tour analyst travelnbspkindly share updated resume asapthanks amp regardsreenu operation management tourism operator travel tour office,Ticketing
apply interested work new delhidelhiapplicant responsible selling holiday package domestic amp outbounddomesticoutbound tour executive must good knowledge indian international destination detail responsibility domestic packagehotelaircabtrainbus booking receiving callsemails providing client best possible routing destination competitive fare available market designing itinerary hotel booking amp costing contracting hotel managing supplier effectively communicating order get timely confirmation candidate well versed operational aspect booking capable web query walkin client query make professional accurate cost effective travel arrangement client providing excellent customer service helping client travel planning business package vacation package well travel advice amp information selling vacation package including flight hotel car extra activity maintaining high materialization ratio along quality control coordinate multiple department ensure quick resolution customer build excellent business relationship customer group peer vendor ensure latest updated policy procedure desk instruction read amp complied handling resolving customer queriesissues pertaining hotelpackageair relevant reservationapply schedule prescreening interviewstay solution pvt ltd travel management company established may one stop shop holiday requirement stay solution pvt ltd team dedicated professional offering entire range travel related service registered name helloholidaysin online company owned parent company nickair inc established year accredited iata taai tafi ufta helloholidaysin provide comprehensive range various travel solution like leisure group charter small business traveler etc backed realtime travel package since inception stay solution pvt ltd grown rapidly aspiring emerge one foremost tour travel company india fairly young travel agent delhi flexible receptive new idea adaptable client need tour international tour package outbound leisure holiday outbound travel selling skill leisure package outbound tour package international holiday holiday package selling travel packaes international tour outbound package sale skill domestic tour tour executive tour package outbound tour selling,Ticketing
dear candidategreetingsshiva job service fbdwe urgent hiring fornbspvoice amp non voice process travel companyjob location gurgaongood communicationfresher amp experience applyunder gradduate amp graduate welccomesal depend interviewany gd amadeussabregalileoapolloworld span knowledgecontact apply job asapnbspthanks amp regardsbhawana gupta hiring english customer service office skill voice,Customer service
leading institute training need business consultant mumbai andheri locationnbspnbspits non sale profile direct sellingnbspprofile business consultant nbspgt help organisation tie leading industrial house trainingnbspgt generate team growth partnersnbspgt motivate amp train team growth partner help generate lead industrynbspctc lac incentivesnbsphow apply interested candidate submit wwwseacareersinnbspor mail amp call ajay sale insurance lead generation channel distribution demand generation sale enablement business development lead qualification global sale,Sales
job descriptionnbspqualification amp skill galileo ticketing tax audit product development corporate travel team management product management international ticketing fare audit,Ticketing
dear candidategreetingsshiva job service fbdwe urgent hiring fornbspvoice amp non voice process travel mnc companyjob location gurgaongood communication day workingrotational shiftfresher amp experience applyunder gradduate amp graduate welccomesal depend interviewany gd amadeussabregalileoapolloworld span knowledgecontact apply job asapnbspthanks amp regardsbhawana gupta hiring english customer service office skill voice,Customer service
travel sale consultantinternationalabout companyit one stop online travel portal offer complete travel related service comfort satisfaction highly reliable travelling professional attained essential marketplace become leader travelling industry provide unique opportunity industry supplier like airline hotel transporter explore consumer discover different place ensuring satisfaction end unique travelling solution add extra mile onersquos journeylocation delhiexperience ndash yearsfunction sale amp marketingvacancy job descriptionjob descriptiondesired candidate profileoutbound sale travelgood communication skillselfdriven resultorientedcomputer skillsbusiness selling skillsconcept selling destination knowledge internationalreceiving call providing passenger best possible routeing destination competitive fare available markethelping client withnbsptravelnbspplanning business package vacation package well asnbsptravelnbspadvice amp informationselling vacation package including flight hotel car extra activitiesknowledge making itineraryshould makenbsptravel accommodation related bookingsconfirm booking notify client luggage limit insurance requirementsissue ticket fornbsptravel accommodation voucher relevant documentationcollect payment maintain record transactionsnbspqualificationnbspany gradudatenbspworking day day week pmjob nature full time concept communication industry documentation well sale airline selling amp insurance voucher travel outbound,Sales
tour package executive female female candidate apply qualification graduationfixed salary incentiveshift timing general shift timingrelevant experience yearsnbspshould good knowledge majorly domestic international destinationpreferred candidate experience designing arranging tour group package creating customizing international tour package according client requirement responsible providing detailed travel information customer deal customer query relation holiday packagespreparing package tour presentation corporate clientscoordinating negotiating supplier plan sell transportation accommodation insurance travel servicescooperate client determine need advise appropriate destination mode transportation travel date costsnbspnbsp tour travel sale outbound tour tour management tour operation itinerary tour package,Ticketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbspwhy product selling target shift timing bossnbspwho work fresher housewife employedunemployed retirednature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiatfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnbspcall whats app internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbspwhy product selling target shift timing bossnbspwho work fresher housewife employedunemployed retirednature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
hamd service consultant servicenbspnew delhi bhajnpura east delhinbspjob visa saudi arabia countrynbspurgent required heavy driver candidate saudinbspnbsp nbsponly kolkata nbspcandidate required shirka wfs companyheavy driverduty year contractnbspdocuments required nbsp valid passportnbsp driving licencenbsp resumenbsp qualification certificatenbspterms amp conditiononly kolkata driver want holiday weight height indian license holder must know read amp writeonly kolkata candidate required passportnbspthank younbsp driver,IT
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requirednbspnbspcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requirednbspnbspcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredthank call internet marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredthank call internet marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiabesides offering travel amp tourism service worldwide offer online promotion work opportunitiesnbsptfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per monthbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiatfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiatfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiatfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
tfg vacation india travel amp tourism company based indiatfg vacation india pvtltd one fast growing company travel amp tourism industry providing online income opportunitywe need committed amp resultoriented people join hand amp contribute promotionearn huge benefit form income weeklymonthlycome amp work target selling work pressure time boundation amp bos environmentnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcall whats app nbsp internet medium facebook marketing online advertising internet marketing online branding web marketing web promotion mobile marketing google adwords digital marketing,Digital Marketing
greeting crown consultantsnote charge anything candidateswe hiring chief finance officer immigration companyexperience yrsqualification casalary lac per monthlocation mohalieligibility criteriashould cashould vendor management experienceshould team handling profileshould banking financial insurance bfsi backgroundinterested candidate send cv kaur finance control team handling financial,Finance
dear candidatelooking enthusiastic amp confident female candidate interested kindly share candidature ndash executive assistant directorlocation saket delhi near metro stationjob descriptionrequired skillsnbsp secretarial skill secretarial activity secretarial duty secretaryship stenography secretarial support secretarial work,Administration
designing preparing selling itinerary,Ticketing
job descriptionqualificationmin graduationnbspexperience min yeardesignation sale executive sale executive direct sale managertype employmentpermanent onroll employmentprofile onusesmiddot responsible handling direct sale prospect sitemiddot generation souring prospect appointment salesmiddot effective delivery sale presentation prospect locationmiddot handling direct meeting exhibition sale web lead etcmiddot handling hfrp happy family reference programmemiddot capable handle customer issue escalation effectivelymiddot good sale thatrsquos say cdso customer direct sale officer profilenbspnbspjob specificationmiddot must preferably male lsquogo getterrsquo attitudemiddot must potential turn prospect customermiddot must good interpersonal relationsmiddot flexible travel across state average frequency per appointmentsmiddot pleasant personality amp excellent communication skillsmiddot sound knowledge local marketmiddot highly enthusiastic diligent excellent work long tenuremiddot strong decision making abilitiesjob location vashiweekly day bet monday thursdaycompensationmax ctc lpa heavy incentive reimbursementinterested candidate forward updated resume hrwaysandsolution contact detailsregardsafshanbspnbsp marketing sale delivery state communication development business office skill direct presentation,Sales
supplier exp ters dec dec paper dec ative paper deco printing paper,Administration
job descriptiondiagnosing client specification wish suggesting suitable travel package organizing travel beginning end includingnbspticketsnbsp accommodation transportation supplying travelershandle inbound call amp query domestic customersknowledge travel online booking toolswell versed domestic travel industryminimum month travel industry work experiencesalarynbspinr paindustrynbsptravel hotel package airlinesfunctional area nbspcustomer service operationsrole category voicedesired candidate profileshould min month yr experience airlinenbspticketingnbspamp fulfillment able selling increase sale primarily evening shift flexible provide quality service customer amp focus first call resolutionknowledgenbspdomestic travel marketkey skill good communication skill presentable amp hard workingexperience yearsjob location noidagender anyeducationug graduate specializationpg postgraduateto fix appointment call miss pooja marketing consulting sale english,Ticketing
excellent communication skill convincing power fluent english able work team good computer female candidate selling domestic amp international holiday package via callsnbspnbspthanks amp regardspinky telecalling telesales customer service,Sales
oslash deal client customer daily basisoslash discus clientsrsquo requirement provide advice worldwide destination tour accommodation flight understanding client interest purpose visit like family holiday honeymoon etcoslash plan prepare cost itinerary client per requirementsoslash responded customer travel request received via mean business contact person phone email reservation air ticket hotel travel insurance amp also visa processing efficient courteous timely manneroslash performed function relating booking administrative accounting task necessary process electronic travel document related customer request industry requirementsoslash responsible giving final handover client tour voucher ticket insurance documentsnbsp nbsptour amp travel industry backgroundnbspregardsmadhuri visa processing counter sale sale package,Ticketing
excellent communication skill convincing power fluent english able work team good computer travel industry preferd candidate selling domestic amp international holiday package via callsnbspnbspthanks amp regardspinky telecalling telesales customer service,Sales
hiring designer exhibition stall designing delhijob title designerrequirementexcellent designing ability convert creative brief visually appealing layout artworkspassionate think box create cutting edge idea pressure meeting tough deadlinesresponsibilitiesmiddot creating model animating model short video designing creatingstoryboards etcmiddot able make thematic set stage design retail display unit exhibition stallsmiddot creating amp conceptualizing layout advertisement brochure flier hand out etcmiddot ensuring design applicable per production standardsmiddot preparing element list designmiddot research oriented thought processmiddot ability work tough timelinesskill setmiddot good technical knowledge software max maya vraymiddot knowledge graphic designing added advantagemiddot knowledge production material print technologycandidate year similar experiencesalary upto per monthinterested candidate send resume portfolio link call onnbsp nbsp studio autocad stall designing creative designer graphic designer max creative desginer modelling exhibition stall designer designer creative graphic desginer,Marketing
post account femalelocation jogeshwari mumbaiqualificationnbspbcomsalary depend upon experiencekindly find company detail belowname corporate shree gala tour amp travelno employee nbsp weekly per company rulesbonus per company rulespf per company rulesmediclaim per company rulescl monthsappraisal per performance regular intervalsdistance station min walking distanceemployees rating star starts_ rating given employee currently working company _nbspwe permanent job opening call back immediately email immediately accountant account,Finance
arsenius skill capital leading travel mnc direct company payrollwe hiring globally renowned travel mnccompany profile hiring reputed multi national travel company catering domestic international client male candidate preffered profilerotational shift ampositions ticketing amp reservation ndash ldquotravel airline processrdquojob descriptionwe hiring inbound customer service amp ticketing department corporate travel nri division job requires prior work experience knowledge nbspin ticketing amp reservation travel airline processcandidate profilebull minimum month experience reservation ticketing travel process airline processbull customer centric excellent communication skillsbull hsc graduatesbull candidate willing work rotational shiftsany gd experience required amadeus galileo saber abacus etc created pnr issued ticket cancellation refund reissuancelocation andheri mumbairemuneration lac night allowance incentive benefitsinterested candidate call angee send resume angeearseniusskillcapitalcomshare mail may benefitarsenius skill capital routing skill opportunitiesnbsp gd ticketing bpo catering amadeus galileo abacus saber process travel domestic ticketing worldspan ticket booking international ticketing reservation ticketing,Ticketing
talent hunter manpower solution hiring tour travel companyposition senior manager product contracting leisure outboundjob loc mumbai fortexperience year senior global contracting product designing portfoliocost negotiablecriteria specialtiesnbspfor europe usamiddot sound destination knowledge europe america africa middle east indian ocean orient china japan koreamiddot efficient communicatornbspacross partner destination management company tourism board internal external client sale team stakeholdersmiddot planning forecasting ability plan set product solution end end ability foresee forecast direct business consequence actionsmiddot innovationnbspunderstand specific need global office nbspand create competitive contemporary winning productsmiddot leadershipnbspdisplay ability lead front deliver team responsibility independentlyregardsmadhuri forecasting sound knowledge efficient destination planning leadership innovation communicator,Ticketing
requirement part time internet based workeasy work available worker around worldnature businessnbsppromotion tourismnbspservicesincomenbspyou earn per weekbenefitnbspno time bound skill requiredcomplete training provided active membersall payment weekly basisworldwide required limited vacanciesapply nowakansha sood manager cse cca person house work internet online sale business development online ad wivesretire part workfresher time online cce sale computer science pca,Marketing
customer service bpo call centre,Airline Ground Operations
air ticketing travel manager travel,Ticketing
excellent verbal written communication skill,Finance
accounting ate finance rep ting skill data entry management,Finance
front desk receptionist communciation skill,Administration
nbspnbspnbspnbspintrested candidate drop afreenno voice process international voice process international sale travel sale,Ticketing
gather complete information various productservices companyidentify market potential productservices companycandidate responsible identify amp give presentation existing new customersrevenue generation achieve targetexcellent communication amp presentation skill pleasing personalitythe ability speak confidence range productsservicesprovide accurate complete comprehensive response bid sale leadscold calling perform sale prospect appointment call help generate leadspreparing estimate quotation customersdevelop new clientsbuild relationship global companiesnbspimprove service level experiencenbspnbspnbsprequirementsnbspgt excellent written spoken englishgt creative hardworking ability take initiative deliver resultsgt preferred industry background travel sale corporate salesnbspgt exposure institutionalcorporate salesnbspcharacteristics personnbspgt communication skillsnbspgt open mindsetnbspnbspgt commercial skillsnbspgt negotiation skillsnbspapply current expected ctc notice period immediatelynbsp negotiation bid target telecom marketing industry english commercial sale communication amp travel agent skill travel calling business development cold corporate training corporate,Sales
job profile tour consultant ndash ticketing sale domestic internationaljob profileto call client know requirementto search fare portal gd per requirementto provide best fare clientto issue ticket portalse mail ticket clientscoordinate client payment alsomale femalemin graduateexp yr industrysalary nbspnegotiable per experiencenbspnbsp management consultant travel travel management ticket booking,Ticketing
looking travel agent passionate traveling manage travel requirement made business holiday provide tourism related service package tour behalf supplier goal keep client satisfied loyal future servicesnbspresponsibilitiesrequirements tourism tour tour agent itenary travel agency international tour holiday package domestic tourism,Ticketing
